Loaded 873 existing candidates (50 passing)

=== mochajs/mocha ===
  fetched 800 failed runs
  443 new unique failing SHAs
  174 pairs have a next-passing run
    f9881c6 -> f9881c6 [fail(same_sha_rerun)] - 
    016837f -> b6e4cc6 [fail(no_prod_file)] - 
    d123282 -> d137166 [fail(no_prod_file)] - 
    aafe6fd -> 73ebdfa [fail(no_prod_file)] - 
    544d40c -> f3af0b9 [fail(no_failed_jobs)] lib/cli/watch-run.js 
    52efcea -> f3af0b9 [fail(no_failed_jobs)] lib/cli/watch-run.js 
    476ea82 -> af245f6 [fail(no_prod_file)] - 
    1e11836 -> 2829fe3 [fail(too_many_commits(97))] - 
    fed6bbd -> 2829fe3 [fail(too_many_commits(108))] - 
    8ff0209 -> 2829fe3 [fail(too_many_commits(106))] - 
    8d01d33 -> 73ebdfa [fail(diff_too_large(9416))] - 
    031c417 -> 031c417 [fail(same_sha_rerun)] - 
    0ed524a -> 2829fe3 [fail(too_many_commits(110))] - 
    e37458a -> 2829fe3 [fail(too_many_commits(109))] - 
    9324a09 -> f7890b7 [fail(too_many_commits(18))] - 
    28517af -> 28517af [fail(same_sha_rerun)] - 
    1801e05 -> bb895fa [fail(multi_prod_file)] - 
    b9df13b -> 72381b7 [fail(too_many_commits(18))] - 
    80d9d5a -> bc00718 [fail(no_prod_file)] - 
    17f51a1 -> 28517af [fail(multi_prod_file)] - 
    1501525 -> 2cbb1c2 [fail(no_prod_file)] - 
    904fded -> 904fded [fail(same_sha_rerun)] - 
    1da7cbb -> 6425367 [fail(too_many_commits(10))] - 
    2cba86f -> 2cba86f [fail(same_sha_rerun)] - 
    1972dd7 -> 46cd926 [fail(too_many_commits(112))] - 
    f23c960 -> b07e56a [fail(multi_prod_file)] - 
    3c52f9d -> f7890b7 [fail(too_many_commits(37))] - 
    6cc7816 -> 1132186 [fail(multi_prod_file)] - 
    1a53a10 -> 46cd926 [fail(too_many_commits(131))] - 
    add4cf8 -> 46cd926 [fail(too_many_commits(134))] - 
    5d9551b -> 4f1ff8f [fail(diff_too_large(7811))] - 
    9399490 -> 724d000 [fail(no_prod_file)] - 
    bb895fa -> 924342b [fail(log_unavailable)] mocha.mjs 
    063dfb6 -> b07e56a [fail(too_many_commits(20))] - 
    ba0179f -> b07e56a [fail(too_many_commits(24))] - 
    59139df -> 87c21a1 [fail(log_unavailable)] lib/cli/config.js 
    7a0c65b -> ee7fe65 [fail(diff_too_large(13713))] - 
